country,year,GDP per capita
Bangladesh,2008,3130
Bangladesh,2009,3260
Bangladesh,2010,3400
Bulgaria,1990,12.5k
Bulgaria,1991,11.6k
Bulgaria,1992,10.9k
Bulgaria,1993,10.8k
Bulgaria,1994,11.1k
Bulgaria,1995,11.5k
Bulgaria,1996,11.8k
Bulgaria,1997,10.5k
Bulgaria,1998,11k
Bulgaria,1999,10.1k
Bulgaria,2000,10.7k
Bulgaria,2001,11.3k
Bulgaria,2002,12.2k
Bulgaria,2003,12.9k
Bulgaria,2004,13.8k
Bulgaria,2005,14.9k
Bulgaria,2006,16k
Bulgaria,2007,17.2k
Bulgaria,2008,18.3k
Bulgaria,2009,17.8k
Bulgaria,2010,18.2k
Bahrain,1990,24.8k
Bahrain,1991,27.2k
Bahrain,1992,29.3k
Bahrain,1993,32.9k
Bahrain,1994,33.2k
Bahrain,1995,34.5k
Bahrain,1996,35.8k
Bahrain,1997,36.8k
Bahrain,1998,38.5k
Bahrain,1999,40k
Bahrain,2000,41.9k
Bahrain,2001,42.6k
Bahrain,2002,43.7k
Bahrain,2003,45.3k
Bahrain,2004,45.9k
Bahrain,2005,45.9k
Bahrain,2006,45.7k
Bahrain,2007,46.5k
Bahrain,2008,46.5k
Bahrain,2009,45k
Bahrain,2010,45.6k
Bahamas,1990,37.9k
Bahamas,1991,35.5k
Bahamas,1992,33.4k
Bahamas,1993,32.7k
Bahamas,1994,33k
Bahamas,1995,33.8k
Bahamas,1996,34.5k
Bahamas,1997,35.9k
Bahamas,1998,34.2k
Bahamas,1999,37.4k
Bahamas,2000,38.3k
Bahamas,2001,38.6k
Bahamas,2002,39k
Bahamas,2003,37.9k
Bahamas,2004,37.6k
Bahamas,2005,38.2k
Bahamas,2006,38.5k
Bahamas,2007,38.4k
Bahamas,2008,36.9k
Bahamas,2009,34.7k
Bahamas,2010,34.7k
Bosnia and Herzegovina,1990,2610
Bosnia and Herzegovina,1991,2330
Bosnia and Herzegovina,1992,2060
Bosnia and Herzegovina,1993,1900
Bosnia and Herzegovina,1994,2120
Bosnia and Herzegovina,1995,2470
Bosnia and Herzegovina,1996,4270
Bosnia and Herzegovina,1997,5420
Bosnia and Herzegovina,1998,6100
Bosnia and Herzegovina,1999,6560
Bosnia and Herzegovina,2000,7190
Bosnia and Herzegovina,2001,7290
Bosnia and Herzegovina,2002,7600
Bosnia and Herzegovina,2003,7870
Bosnia and Herzegovina,2004,8390
Bosnia and Herzegovina,2005,8760
Bosnia and Herzegovina,2006,9280
Bosnia and Herzegovina,2007,9900
Bosnia and Herzegovina,2008,10.6k
Bosnia and Herzegovina,2009,10.4k
Bosnia and Herzegovina,2010,10.6k
Belarus,1990,10.5k
Belarus,1991,10.2k
Belarus,1992,9140
Belarus,1993,8340
Belarus,1994,7300
Belarus,1995,6480
Belarus,1996,6620
Belarus,1997,7340
Belarus,1998,7920
Belarus,1999,8150
Belarus,2000,8590
Belarus,2001,8970
Belarus,2002,9410
Belarus,2003,10.1k
Belarus,2004,11.2k
Belarus,2005,12.3k
Belarus,2006,13.5k
Belarus,2007,14.6k
Belarus,2008,16.1k
Belarus,2009,16.1k
Belarus,2010,17.3k
Belize,1990,6590
Belize,1991,7190
Belize,1992,7880
Belize,1993,8200
Belize,1994,8030
Belize,1995,7870
Belize,1996,7700
Belize,1997,7690
Belize,1998,7700
Belize,1999,8090
Belize,2000,8830
Belize,2001,8980
Belize,2002,9130
Belize,2003,9670
Belize,2004,9810
Belize,2005,9720
Belize,2006,9850
Belize,2007,9860
Belize,2008,9440
Belize,2009,9120
Belize,2010,8990
Bolivia,1990,4550
Bolivia,1991,4690
Bolivia,1992,4660
Bolivia,1993,4760
Bolivia,1994,4880
Bolivia,1995,5000
Bolivia,1996,5120
Bolivia,1997,5270
Bolivia,1998,5430
Bolivia,1999,5340
Bolivia,2000,5370
Bolivia,2001,5360
Bolivia,2002,5390
Bolivia,2003,5430
Bolivia,2004,5560
Bolivia,2005,5700
Bolivia,2006,5860
Bolivia,2007,6010
Bolivia,2008,6260
Bolivia,2009,6360
Bolivia,2010,6500
Brazil,1990,10.5k
Brazil,1991,10.5k
Brazil,1992,10.3k
Brazil,1993,10.6k
Brazil,1994,11.1k
Brazil,1995,11.4k
Brazil,1996,11.5k
Brazil,1997,11.7k
Brazil,1998,11.6k
Brazil,1999,11.5k
Brazil,2000,11.8k
Brazil,2001,11.8k
Brazil,2002,12k
Brazil,2003,12k
Brazil,2004,12.5k
Brazil,2005,12.7k
Brazil,2006,13.1k
Brazil,2007,13.7k
Brazil,2008,14.2k
Brazil,2009,14k
Brazil,2010,14.8k
Barbados,1990,15.1k
Barbados,1991,14.4k
Barbados,1992,13.5k
Barbados,1993,13.4k
Barbados,1994,13.6k
Barbados,1995,13.8k
Barbados,1996,14.2k
Barbados,1997,14.8k
Barbados,1998,15.2k
Barbados,1999,15.2k
Barbados,2000,15.8k
Barbados,2001,15.3k
Barbados,2002,15.3k
Barbados,2003,15.6k
Barbados,2004,15.7k
Barbados,2005,16.2k
Barbados,2006,17.1k
Barbados,2007,17.4k
Barbados,2008,17.4k
Barbados,2009,16.5k
Barbados,2010,16k
Brunei,1990,81.5k
Brunei,1991,81k
Brunei,1992,81.9k
Brunei,1993,79.4k
Brunei,1994,79.3k
Brunei,1995,80.2k
Brunei,1996,80k
Brunei,1997,76.5k
Brunei,1998,73.9k
Brunei,1999,74k
Brunei,2000,74k
Brunei,2001,74k
Brunei,2002,74.8k
Brunei,2003,75k
Brunei,2004,73.5k
Brunei,2005,72k
Brunei,2006,73.5k
Brunei,2007,71.9k
Brunei,2008,68.9k
Brunei,2009,66.2k
Brunei,2010,66.5k
Bhutan,1990,2880
Bhutan,1991,2820
Bhutan,1992,3030
Bhutan,1993,3200
Bhutan,1994,3350
Bhutan,1995,3540
Bhutan,1996,3670
Bhutan,1997,3790
Bhutan,1998,3940
Bhutan,1999,4140
Bhutan,2000,4180
Bhutan,2001,4400
Bhutan,2002,4750
Bhutan,2003,4990
Bhutan,2004,5150
Bhutan,2005,5400
Bhutan,2006,5680
Bhutan,2007,6630
Bhutan,2008,6850
Bhutan,2009,7210
Bhutan,2010,7960
Botswana,1990,8590
Botswana,1991,9050
Botswana,1992,9130
Botswana,1993,9100
Botswana,1994,9240
Botswana,1995,9690
Botswana,1996,10.1k
Botswana,1997,10.7k
Botswana,1998,10.6k
Botswana,1999,11.4k
Botswana,2000,11.4k
Botswana,2001,11.3k
Botswana,2002,11.8k
Botswana,2003,12.1k
Botswana,2004,12.2k
Botswana,2005,12.6k
Botswana,2006,13.4k
Botswana,2007,13.9k
Botswana,2008,14k
Botswana,2009,11.8k
Botswana,2010,12.7k
Central African Republic,1990,1260
Central African Republic,1991,1220
Central African Republic,1992,1120
Central African Republic,1993,1080
Central African Republic,1994,1100
Central African Republic,1995,1140
Central African Republic,1996,1050
Central African Republic,1997,1080
Central African Republic,1998,1090
Central African Republic,1999,1100
Central African Republic,2000,1050
Central African Republic,2001,1060
Central African Republic,2002,1070
Central African Republic,2003,982
Central African Republic,2004,1010
Central African Republic,2005,999
Central African Republic,2006,1020
Central African Republic,2007,1050
Central African Republic,2008,1040
Central African Republic,2009,1110
Central African Republic,2010,1130
Canada,1990,36.5k
Canada,1991,35.2k
Canada,1992,35k
Canada,1993,35.5k
Canada,1994,36.6k
Canada,1995,37.1k
Canada,1996,37.2k
Canada,1997,38.4k
Canada,1998,39.4k
Canada,1999,41k
Canada,2000,42.6k
Canada,2001,42.8k
Canada,2002,43.5k
Canada,2003,43.8k
Canada,2004,44.6k
Canada,2005,45.4k
Canada,2006,46k
Canada,2007,46.4k
Canada,2008,46.2k
Canada,2009,44.2k
Canada,2010,44.9k
Switzerland,1990,54.1k
Switzerland,1991,53.3k
Switzerland,1992,53.1k
Switzerland,1993,52.9k
Switzerland,1994,53.5k
Switzerland,1995,53.7k
Switzerland,1996,53.9k
Switzerland,1997,55.3k
Switzerland,1998,57k
Switzerland,1999,57.9k
Switzerland,2000,60k
Switzerland,2001,60.7k
Switzerland,2002,60.3k
Switzerland,2003,59.9k
Switzerland,2004,61.2k
Switzerland,2005,62.5k
Switzerland,2006,64.6k
Switzerland,2007,66.5k
Switzerland,2008,67.4k
Switzerland,2009,64.9k
Switzerland,2010,66.1k
Chile,1990,10.8k
Chile,1991,11.4k
Chile,1992,12.4k
Chile,1993,12.9k
Chile,1994,13.3k
Chile,1995,14.2k
Chile,1996,14.9k
Chile,1997,15.7k
Chile,1998,16k
Chile,1999,15.6k
Chile,2000,16.1k
Chile,2001,16.4k
Chile,2002,16.6k
Chile,2003,17.1k
Chile,2004,18k
Chile,2005,18.8k
Chile,2006,19.6k
Chile,2007,20.4k
Chile,2008,20.8k
Chile,2009,20.3k
Chile,2010,21.2k
China,1990,1930
China,1991,2020
China,1992,2210
China,1993,2430
China,1994,2660
China,1995,2860
China,1996,3060
China,1997,3240
China,1998,3380
China,1999,3560
China,2000,3780
China,2001,4020
China,2002,4320
China,2003,4660
China,2004,5050
China,2005,5550
China,2006,6160
China,2007,6940
China,2008,7500
China,2009,8120
China,2010,8880
Cote d'Ivoire,1990,3820
Cote d'Ivoire,1991,3720
Cote d'Ivoire,1992,3620
Cote d'Ivoire,1993,3520
Cote d'Ivoire,1994,3450
Cote d'Ivoire,1995,3590
Cote d'Ivoire,1996,3770
Cote d'Ivoire,1997,4000
Cote d'Ivoire,1998,4080
Cote d'Ivoire,1999,4040
Cote d'Ivoire,2000,3930
Cote d'Ivoire,2001,3780
Cote d'Ivoire,2002,3610
Cote d'Ivoire,2003,3380
